Date,Store_ID,Product_ID,Quantity_Sold,Unit_Price,Customer_ID,Total_Amount
2025-04-23,Store_9,Product_26,15.0,16.11,3ea78c5b-0f28-4d97-adc5-6a4e859db8bd,241.64999999999998
2025-01-31,Store_3,Product_97,10.0,329.79,b57aefce-b389-49dc-97c9-404ff615bec2,3297.9
2025-08-14,Store_16,Product_19,14.0,200.3,2da7ecc0-9620-47a1-8c4d-e350a61b48a2,2804.2000000000003
2025-05-24,Store_1,Product_67,43.0,266.32,28cffdb5-052b-41b2-b8cb-891e96ac9bd7,
2025-01-20,Store_15,Product_60,15.0,278.37,b862f8dc-eb16-42ca-8883-698527fb887a,4175.55
2025-05-02,Store_15,Product_53,40.0,54.51,f6d3b170-3239-4b31-b0b5-553fdad92a01,2180.4
2025-04-30,Store_10,Product_67,35.0,179.0,be51c38c-1b15-4b45-8f19-3e156a044f34,6265.0
2025-01-09,Store_19,Product_88,,120.38,69268296-f590-4170-af08-9abce3ced07e,2046.46
2025-02-02,Store_14,Product_90,26.0,377.37,21f8fdb4-be2a-49ce-b910-15796b8dfc08,9811.62
2025-05-23,Store_5,Product_86,40.0,97.59,380e3f92-89d0-4f9e-aeb0-e4263c02e9bf,3903.6000000000004
2025-07-08,Store_4,Product_34,,114.63,c03e2483-6107-42e0-a881-c07a62d91e6a,2751.12
2025-03-09,Store_18,Product_94,20.0,376.76,609bbcbc-c23d-46e1-a3ac-dec4449c977c,7535.2
2025-04-29,Store_1,Product_11,35.0,222.94,f31e73ac-bf0e-4a2e-88d9-530cbf59ad8e,7802.9
2025-03-02,Store_13,Product_60,28.0,344.67,da3f9edf-c345-419d-a464-80a2adefdf9d,9650.76
2025-03-26,Store_8,Product_74,30.0,292.26,2d23e6ee-134c-4e80-a632-f6fe945154aa,8767.8
2025-04-14,Store_14,Product_22,38.0,388.56,2c76d6d2-218c-4f6b-b275-cbf98d6696ad,14765.28
2025-03-25,Store_20,Product_78,32.0,438.96,25678d27-ce96-4e26-b02b-901d60a2d620,14046.72
2025-02-11,Store_15,Product_9,0.0,319.3,5d914b68-84b9-4e23-849e-35aa3ea648e2,0.0
2025-07-11,Store_18,Product_12,23.0,317.54,fd81168d-c654-4b4c-b670-cf85675379bb,
2025-04-25,Store_8,Product_58,8.0,211.25,60820140-736b-491b-aa48-c56341aff2b4,1690.0
2025-07-09,Store_8,Product_82,27.0,353.41,53407966-5943-4c41-a5b8-11a841429c7c,9542.070000000002
2025-06-27,Store_3,Product_88,45.0,424.91,a48a4713-a822-4b1d-937a-d106c98aad2b,19120.95
2025-04-14,Store_11,Product_69,33.0,137.67,b2d2b5cb-302c-4939-8a10-d5a32124c917,4543.11
2025-02-18,Store_4,Product_78,42.0,165.6,81017662-cccf-4c4f-8cf6-69f2fa0015ab,6955.2
2025-05-21,Store_9,Product_19,47.0,454.09,d6136162-8913-4753-bf67-3235d22a3620,21342.23
2025-03-11,Store_18,Product_53,14.0,338.51,009b7689-9283-4883-8ee9-a6d711c9c820,4739.139999999999
2025-02-16,Store_15,Product_31,16.0,237.21,5c19f9d2-301b-4b8c-975a-4ada061591e1,3795.36
2025-02-18,Store_2,Product_89,3.0,314.91,17f5f5f6-1be3-4ddc-bc42-6036997e5625,944.73
2025-07-24,Store_19,Product_56,37.0,130.22,2ee2cfc4-d182-46ad-a27b-2dbc31815e89,4818.14
2025-08-15,Store_6,Product_66,13.0,345.25,8b1e77bb-117a-4d44-b109-815405e7f760,4488.25
2025-04-17,Store_17,Product_16,25.0,316.17,370011bf-0c56-4dcd-bda5-3d76ffc1fe68,7904.25
2025-08-10,Store_17,Product_23,-1.0,318.22,750fe92e-dc72-40f7-b17e-6313d604bc3c,7637.280000000001
2025-01-30,Store_14,Product_88,16.0,355.44,7dd057e9-0155-46b0-a7c3-295b0aa36f3c,5687.04
2025-01-08,Store_5,Product_96,,213.43,43fc0c10-373b-4ba8-8efb-588fc1c6ebbb,2561.16
2025-02-12,Store_7,Product_37,47.0,55.5,8f7f9d16-ec28-43d0-92d3-9e75645e059d,2608.5
2025-04-15,Store_9,Product_91,8.0,161.05,ef258374-f02e-4270-8161-8e0ec4928755,1288.4
2025-03-17,Store_12,Product_8,25.0,8.55,13762fa7-9667-4d2c-a3c3-eb972ceb1a91,213.75000000000003
2025-02-05,Store_7,Product_15,29.0,,9288a7eb-d787-45f5-9e00-682154259133,10954.460000000001
2025-04-23,Store_17,Product_68,46.0,417.23,603707d3-495a-459d-a832-175c4cb810f3,19192.58
2025-03-08,Store_8,Product_17,41.0,,fae403c1-4bd4-4c48-8817-aa29110bff25,2906.4900000000002
2025-01-03,Store_6,Product_29,25.0,397.28,f6b13bf4-1807-48e6-9246-069ff65e873b,9932.0
2025-06-25,Store_13,Product_80,31.0,199.17,e3cb1763-01b1-41bf-a012-8a29dea5625e,6174.2699999999995
2025-08-24,Store_20,Product_12,9.0,325.8,20e25a1b-ea10-4f69-b025-2f6b2b4a693c,2932.2000000000003
2025-06-17,Store_8,Product_56,1.0,155.25,77626652-e80b-4d81-88a4-b42ffdf62cb2,155.25
2025-09-04,Store_7,Product_69,35.0,196.81,7635863c-5e73-40dc-865e-72ba337ffad4,6888.35
2025-04-07,Store_18,Product_55,43.0,354.44,d543fc7d-3f67-445d-a389-8729e82301a9,15240.92
2025-02-27,Store_13,Product_53,13.0,111.1,644f868e-84ed-4fd1-a2eb-701a9106e314,1444.3
2025-06-23,Store_7,Product_61,2.0,388.04,6ec4d91a-7b88-472e-9b4f-c89e7f4b623c,776.08
2025-03-04,Store_11,Product_60,10.0,307.37,104f29cf-6de7-4736-a666-2bd1f15e993b,3073.7
2025-01-04,Store_10,Product_12,26.0,400.87,395f4a05-48ea-4997-9e96-f5a08501cc96,10422.62
2025-01-12,Store_17,Product_95,25.0,249.38,57f56e36-904f-4983-8527-0e074b719a57,6234.5
2025-01-30,Store_2,Product_39,2.0,112.62,c47de68a-7d41-4c54-8f56-17000e89d523,225.24
2025-01-19,Store_17,Product_85,40.0,130.67,0fcb87b6-bc8f-44a3-aa24-4e78b83ec6fd,5226.799999999999
2025-03-23,Store_13,Product_36,27.0,282.43,65475e76-4a0f-40f8-8a3d-7dcc7e459c76,7625.610000000001
